date,close,high,low,open,volume
1993-01-29T00:00:00.000Z,25.7915269601,25.8098415123,25.6814635449,25.8098415123,1003200
1993-02-01T00:00:00.000Z,25.9749659854,25.9749659854,25.8098415123,25.8098415123,480500
1993-02-02T00:00:00.000Z,26.0299683427,26.0483415955,25.9015903752,25.9565927326,201300
1993-02-03T00:00:00.000Z,26.305156231,26.3234707832,26.0483415955,26.0666561478,529400
1993-02-04T00:00:00.000Z,26.4152196461,26.4702220035,26.1033439529,26.3968463934,531500
1993-02-05T00:00:00.000Z,26.3968463934,26.4519074512,26.2500951731,26.3968463934,492100
1993-02-08T00:00:00.000Z,26.3968463934,26.4885952563,26.3601585883,26.3968463934,596100
1993-02-09T00:00:00.000Z,26.213407368,26.305156231,26.1584050107,26.305156231,122100
1993-02-10T00:00:00.000Z,26.2500951731,26.2684684259,26.1400317579,26.213407368,379600
1993-02-11T00:00:00.000Z,26.3785318411,26.4885952563,26.2867829782,26.2867829782,19500
1993-02-12T00:00:00.000Z,26.176719563,26.341844036,26.176719563,26.341844036,42500
1993-02-16T00:00:00.000Z,25.5163390718,26.1033439529,25.4796512668,26.1033439529,374800
1993-02-17T00:00:00.000Z,25.4980245195,25.5530268769,25.4062756566,25.5163390718,210900
1993-02-18T00:00:00.000Z,25.4796512668,25.7915269601,25.1311464689,25.7915269601,378100
1993-02-19T00:00:00.000Z,25.5714001297,25.5714001297,25.4429634617,25.4796512668,34900
1993-02-22T00:00:00.000Z,25.6630902921,25.6997780971,25.5714001297,25.6447757398,513600
1993-02-23T00:00:00.000Z,25.6447757398,25.754839155,25.5163390718,25.7364659022,373700
1993-02-24T00:00:00.000Z,25.9749659854,25.9749659854,25.6630902921,25.6630902921,26300
1993-02-25T00:00:00.000Z,26.0299683427,26.0483415955,25.9015903752,25.9565927326,44500
1993-02-26T00:00:00.000Z,26.0666561478,26.0850294006,25.9382781803,26.0850294006,66200
1993-03-01T00:00:00.000Z,25.9932805377,26.1584050107,25.9565927326,26.1584050107,66500
1993-03-02T00:00:00.000Z,26.3785318411,26.3785318411,25.9749659854,26.0116537904,182400
1993-03-03T00:00:00.000Z,26.4885952563,26.5069098086,26.3785318411,26.4152196461,280100
1993-03-04T00:00:00.000Z,26.341844036,26.5252830613,26.341844036,26.5252830613,89500
1993-03-05T00:00:00.000Z,26.2684684259,26.4885952563,26.2500951731,26.3785318411,40000
1993-03-08T00:00:00.000Z,26.8554733069,26.8554733069,26.3234707832,26.3234707832,50800
1993-03-09T00:00:00.000Z,26.763724444,26.8187855018,26.7087220867,26.8004122491,169300
1993-03-10T00:00:00.000Z,26.8187855018,26.8187855018,26.6536610288,26.763724444,194400
1993-03-11T00:00:00.000Z,26.7454098917,26.9104756643,26.7087220867,26.8371000541,70900
