date,close,high,low,open,volume,ticker
1993-01-29 00:00:00+00:00,24.7497426612,24.7673174429,24.6441249827,24.7673174429,1003200,SPY
1993-02-01 00:00:00+00:00,24.9257721253,24.9257721253,24.7673174429,24.7673174429,480500,SPY
1993-02-02 00:00:00+00:00,24.9785527999,24.996183911,24.8553603397,24.9081410142,201300,SPY
1993-02-03 00:00:00+00:00,25.2426251608,25.2601999425,24.996183911,25.0137586927,529400,SPY
1993-02-04 00:00:00+00:00,25.3482428393,25.4010235139,25.0489645855,25.3306117282,531500,SPY
1993-02-05 00:00:00+00:00,25.3306117282,25.3834487322,25.1897881569,25.3306117282,492100,SPY
1993-02-08 00:00:00+00:00,25.3306117282,25.418654625,25.2954058354,25.3306117282,596100,SPY
1993-02-09 00:00:00+00:00,25.154582264,25.2426251608,25.1018015895,25.2426251608,122100,SPY
1993-02-10 00:00:00+00:00,25.1897881569,25.207419268,25.0841704784,25.154582264,379600,SPY
1993-02-11 00:00:00+00:00,25.3130369465,25.418654625,25.2249940497,25.2249940497,19500,SPY
1993-02-12 00:00:00+00:00,25.1193763712,25.2778310537,25.1193763712,25.2778310537,42500,SPY
1993-02-16 00:00:00+00:00,24.4856703002,25.0489645855,24.4504644074,25.0489645855,374800,SPY
1993-02-17 00:00:00+00:00,24.4680955185,24.5208761931,24.3800526217,24.4856703002,210900,SPY
1993-02-18 00:00:00+00:00,24.4504644074,24.7497426612,24.1160365902,24.7497426612,378100,SPY
1993-02-19 00:00:00+00:00,24.5385073042,24.5385073042,24.4152585146,24.4504644074,34900,SPY
1993-02-22 00:00:00+00:00,24.6264938716,24.6616997644,24.5385073042,24.6089190899,513600,SPY
1993-02-23 00:00:00+00:00,24.6089190899,24.7145367684,24.4856703002,24.6969056572,373700,SPY
1993-02-24 00:00:00+00:00,24.9257721253,24.9257721253,24.6264938716,24.6264938716,26300,SPY
1993-02-25 00:00:00+00:00,24.9785527999,24.996183911,24.8553603397,24.9081410142,44500,SPY
1993-02-26 00:00:00+00:00,25.0137586927,25.0313898038,24.8905662325,25.0313898038,66200,SPY
1993-03-01 00:00:00+00:00,24.943346907,25.1018015895,24.9081410142,25.1018015895,66500,SPY
1993-03-02 00:00:00+00:00,25.3130369465,25.3130369465,24.9257721253,24.9609780182,182400,SPY
1993-03-03 00:00:00+00:00,25.418654625,25.4362294067,25.3130369465,25.3482428393,280100,SPY
1993-03-04 00:00:00+00:00,25.2778310537,25.4538605178,25.2778310537,25.4538605178,89500,SPY
1993-03-05 00:00:00+00:00,25.207419268,25.418654625,25.1897881569,25.3130369465,40000,SPY
1993-03-08 00:00:00+00:00,25.7707135533,25.7707135533,25.2601999425,25.2601999425,50800,SPY
1993-03-09 00:00:00+00:00,25.6826706565,25.7355076605,25.629889982,25.7178765494,169300,SPY
1993-03-10 00:00:00+00:00,25.7355076605,25.7355076605,25.577052978,25.6826706565,194400,SPY
1993-03-11 00:00:00+00:00,25.6650958748,25.8234942279,25.629889982,25.7530824422,70900,SPY
1993-03-12 00:00:00+00:00,25.4010235139,25.4714352995,25.2426251608,25.4538605178,643600,SPY
1993-03-15 00:00:00+00:00,25.5242723035,25.5242723035,25.3834487322,25.3834487322,310800,SPY
1993-03-16 00:00:00+00:00,25.5242723035,25.5946840892,25.5242723035,25.5242723035,30800,SPY
1993-03-17 00:00:00+00:00,25.365817621,25.4890664107,25.3306117282,25.4890664107,21800,SPY
1993-03-18 00:00:00+00:00,25.5242723035,25.629889982,25.4714352995,25.4714352995,59300,SPY
1993-03-19 00:00:00+00:00,25.485906893,25.6273971647,25.485906893,25.6273971647,66900,SPY
1993-03-22 00:00:00+00:00,25.3444166213,25.3975037713,25.2206409316,25.2382989175,183400,SPY
1993-03-23 00:00:00+00:00,25.3975037713,25.4328763392,25.3621312033,25.4151617572,55200,SPY
1993-03-24 00:00:00+00:00,25.3975037713,25.503621475,25.2382989175,25.3621312033,37200,SPY
1993-03-25 00:00:00+00:00,25.5566520289,25.6097391788,25.3797891892,25.4151617572,110100,SPY
1993-03-26 00:00:00+00:00,25.4151617572,25.5566520289,25.3975037713,25.538994043,101500,SPY
1993-03-29 00:00:00+00:00,25.5212794609,25.6451117467,25.4328763392,25.4328763392,87100,SPY
1993-03-30 00:00:00+00:00,25.5920245968,25.5920245968,25.5212794609,25.5566520289,56000,SPY
1993-03-31 00:00:00+00:00,25.5743666109,25.7335148685,25.5743666109,25.6627697327,111600,SPY
1993-04-01 00:00:00+00:00,25.485906893,25.6097391788,25.4328763392,25.6097391788,129500,SPY
1993-04-02 00:00:00+00:00,24.9553183741,25.2736714855,24.9553183741,25.2736714855,59400,SPY
1993-04-05 00:00:00+00:00,25.0791506599,25.1498957958,25.0084055241,25.1498957958,172200,SPY
1993-04-06 00:00:00+00:00,25.0084055241,25.1321812138,24.9376603882,25.1321812138,129700,SPY
1993-04-07 00:00:00+00:00,25.0968086458,25.0968086458,24.990690942,25.043778092,28000,SPY
1993-04-08 00:00:00+00:00,25.0614360779,25.2029263496,24.9553183741,25.2029263496,180800,SPY
1993-04-12 00:00:00+00:00,25.4151617572,25.4328763392,25.2736714855,25.3090440534,348500,SPY
1993-04-13 00:00:00+00:00,25.4682489071,25.5566520289,25.3797891892,25.3975037713,146100,SPY
1993-04-14 00:00:00+00:00,25.4328763392,25.503621475,25.4151617572,25.485906893,119600,SPY
1993-04-15 00:00:00+00:00,25.4328763392,25.485906893,25.3267586354,25.4151617572,148600,SPY
1993-04-16 00:00:00+00:00,25.4328763392,25.485906893,25.3975037713,25.4505343251,47900,SPY
1993-04-19 00:00:00+00:00,25.3267586354,25.503621475,25.3090440534,25.4328763392,157000,SPY
1993-04-20 00:00:00+00:00,25.2029263496,25.3267586354,25.043778092,25.2913860675,279500,SPY
1993-04-21 00:00:00+00:00,25.1852683637,25.2560134996,25.1145232278,25.2560134996,67900,SPY
1993-04-22 00:00:00+00:00,24.8669152524,25.2913860675,24.8669152524,25.0791506599,97700,SPY
1993-04-23 00:00:00+00:00,24.7607975486,24.8845732383,24.7254249807,24.8138281024,106000,SPY
1993-04-26 00:00:00+00:00,24.5662201269,24.8669152524,24.4954749911,24.7784555345,62600,SPY
1993-04-27 00:00:00+00:00,24.8315426844,24.8315426844,24.530847559,24.530847559,156800,SPY
1993-04-28 00:00:00+00:00,24.7784555345,24.8492006703,24.7430829666,24.7961701165,85900,SPY
1993-04-29 00:00:00+00:00,24.8845732383,24.8845732383,24.6900524127,24.8315426844,85000,SPY
1993-04-30 00:00:00+00:00,24.9199458062,25.0614360779,24.9199458062,24.9730329561,88500,SPY
1993-05-03 00:00:00+00:00,25.0791506599,25.0791506599,24.8492006703,24.9553183741,80500,SPY
1993-05-04 00:00:00+00:00,25.1675537817,25.2560134996,25.0968086458,25.1321812138,149100,SPY
1993-05-05 00:00:00+00:00,25.2382989175,25.3267586354,25.1675537817,25.1675537817,109000,SPY
1993-05-06 00:00:00+00:00,25.1498957958,25.2206409316,25.1321812138,25.2029263496,54700,SPY
1993-05-07 00:00:00+00:00,25.0968086458,25.1675537817,25.0614360779,25.1675537817,68000,SPY
1993-05-10 00:00:00+00:00,25.1498957958,25.2913860675,25.1321812138,25.1321812138,113900,SPY
1993-05-11 00:00:00+00:00,25.2560134996,25.2560134996,25.0791506599,25.1498957958,42600,SPY
1993-05-12 00:00:00+00:00,25.2206409316,25.2382989175,25.1498957958,25.1498957958,31000,SPY
1993-05-13 00:00:00+00:00,24.9199458062,25.1145232278,24.9022878203,25.1145232278,129100,SPY
1993-05-14 00:00:00+00:00,24.9022878203,24.990690942,24.8845732383,24.9199458062,63500,SPY
1993-05-17 00:00:00+00:00,24.990690942,24.990690942,24.8669152524,24.9730329561,34000,SPY
1993-05-18 00:00:00+00:00,24.9730329561,25.02606351,24.8845732383,25.0084055241,105200,SPY
1993-05-19 00:00:00+00:00,25.485906893,25.485906893,24.8138281024,24.9730329561,50200,SPY
1993-05-20 00:00:00+00:00,25.5566520289,25.5566520289,25.4328763392,25.485906893,98200,SPY
1993-05-21 00:00:00+00:00,25.3267586354,25.6097391788,25.3090440534,25.5743666109,221400,SPY
1993-05-24 00:00:00+00:00,25.4328763392,25.5212794609,25.3797891892,25.3797891892,30500,SPY
1993-05-25 00:00:00+00:00,25.485906893,25.538994043,25.485906893,25.538994043,191800,SPY
1993-05-26 00:00:00+00:00,25.8042600044,25.8219745864,25.538994043,25.5566520289,102400,SPY
1993-05-27 00:00:00+00:00,25.7158568826,25.8396325723,25.6804843147,25.8396325723,53800,SPY
1993-05-28 00:00:00+00:00,25.5920245968,25.6981423006,25.4682489071,25.6981423006,79100,SPY
1993-06-01 00:00:00+00:00,25.8396325723,25.9280922902,25.6451117467,25.6804843147,28300,SPY
1993-06-02 00:00:00+00:00,25.8042600044,25.8927197222,25.6627697327,25.7688874364,20300,SPY
1993-06-03 00:00:00+00:00,25.7158568826,25.7512294505,25.6627697327,25.7512294505,21600,SPY
1993-06-04 00:00:00+00:00,25.6273971647,25.6451117467,25.5212794609,25.6451117467,32000,SPY
1993-06-07 00:00:00+00:00,25.538994043,25.6804843147,25.538994043,25.6804843147,121400,SPY
1993-06-08 00:00:00+00:00,25.3090440534,25.4682489071,25.3090440534,25.4682489071,104500,SPY
1993-06-09 00:00:00+00:00,25.3975037713,25.503621475,25.3621312033,25.3975037713,43300,SPY
1993-06-10 00:00:00+00:00,25.4151617572,25.4328763392,25.3267586354,25.3797891892,17900,SPY
1993-06-11 00:00:00+00:00,25.5212794609,25.5566520289,25.4151617572,25.503621475,647400,SPY
1993-06-14 00:00:00+00:00,25.485906893,25.5743666109,25.485906893,25.5566520289,64200,SPY
1993-06-15 00:00:00+00:00,25.4328763392,25.538994043,25.4328763392,25.5212794609,142400,SPY
1993-06-16 00:00:00+00:00,25.485906893,25.485906893,25.3621312033,25.4328763392,330900,SPY
1993-06-17 00:00:00+00:00,25.5743666109,25.5743666109,25.485906893,25.538994043,37400,SPY
1993-06-18 00:00:00+00:00,25.3652553085,25.5611662804,25.3652553085,25.5611662804,58500,SPY
1993-06-21 00:00:00+00:00,25.4186648461,25.4365060257,25.3830394875,25.4365060257,29300,SPY
1993-06-22 00:00:00+00:00,25.4365060257,25.4542902047,25.4008806671,25.4542902047,137500,SPY
1993-06-23 00:00:00+00:00,25.2049126946,25.4365060257,25.2049126946,25.4365060257,227600,SPY
1993-06-24 00:00:00+00:00,25.5433821014,25.5433821014,25.2761634118,25.2761634118,243700,SPY
1993-06-25 00:00:00+00:00,25.5255409219,25.596791639,25.5077567428,25.5255409219,44800,SPY
1993-06-28 00:00:00+00:00,25.8105437905,25.8105437905,25.6146328186,25.6502581772,439900,SPY
1993-06-29 00:00:00+00:00,25.6858835357,25.7749184319,25.6502581772,25.7749184319,207500,SPY
1993-06-30 00:00:00+00:00,25.6858835357,25.7749184319,25.6502581772,25.7215088943,437600,SPY
1993-07-01 00:00:00+00:00,25.6146328186,25.7215088943,25.57900746,25.7215088943,605700,SPY
1993-07-02 00:00:00+00:00,25.4721313843,25.5433821014,25.3830394875,25.5255409219,285400,SPY
1993-07-06 00:00:00+00:00,25.2049126946,25.5077567428,25.1692873361,25.4365060257,246400,SPY
1993-07-07 00:00:00+00:00,25.2761634118,25.3117887704,25.1871285156,25.1871285156,343700,SPY
1993-07-08 00:00:00+00:00,25.5611662804,25.6146328186,25.2583792328,25.2940045914,248200,SPY
1993-07-09 00:00:00+00:00,25.6324169976,25.6324169976,25.5077567428,25.5611662804,378200,SPY
1993-07-12 00:00:00+00:00,25.6146328186,25.6324169976,25.5611662804,25.596791639,373700,SPY
1993-07-13 00:00:00+00:00,25.596791639,25.7036677147,25.4542902047,25.6324169976,389600,SPY
1993-07-14 00:00:00+00:00,25.6858835357,25.7571342529,25.596791639,25.6146328186,617300,SPY
1993-07-15 00:00:00+00:00,25.57900746,25.6680423562,25.5255409219,25.6680423562,443800,SPY
1993-07-16 00:00:00+00:00,25.5077567428,25.6146328186,25.4721313843,25.596791639,216400,SPY
1993-07-19 00:00:00+00:00,25.4899155633,25.5077567428,25.4186648461,25.5077567428,188200,SPY
1993-07-20 00:00:00+00:00,25.5611662804,25.5611662804,25.347414129,25.4721313843,68500,SPY
1993-07-21 00:00:00+00:00,25.5433821014,25.5433821014,25.4542902047,25.5255409219,142700,SPY
1993-07-22 00:00:00+00:00,25.3652553085,25.5433821014,25.3652553085,25.5077567428,632400,SPY
1993-07-23 00:00:00+00:00,25.4899155633,25.4899155633,25.4008806671,25.4186648461,286200,SPY
1993-07-26 00:00:00+00:00,25.6324169976,25.6858835357,25.5611662804,25.5611662804,121300,SPY
